review_id,rating,sentiment,category,review_text
R0001,4,positive,配送,配送很快，包装完整，会回购。
R0002,5,positive,口味,咖啡豆很香，门店环境不错。
R0003,4,positive,口味,新品很好喝，出杯也快。
R0004,3,neutral,其他,等餐时间稍长，整体能接受。
R0005,4,positive,价格,服务态度好，优惠券也能正常使用。
R0006,5,positive,价格,早餐搭配咖啡很划算。
R0007,4,positive,口味,咖啡豆很香，门店环境不错。
R0008,1,negative,配送,配送太慢了，咖啡都凉了。
R0009,2,negative,服务,门店排队太久，服务一般。
R0010,5,positive,价格,服务态度好，优惠券也能正常使用。
R0011,3,neutral,价格,价格小贵，偶尔喝一次。
R0012,3,neutral,服务,门店排队太久，服务一般。
R0013,4,positive,配送,包装一般，咖啡没洒。
R0014,5,positive,口味,新品很好喝，出杯也快。
R0015,2,negative,价格,优惠券规则复杂，客服解释不清。
R0016,4,positive,价格,价格小贵，偶尔喝一次。
R0017,4,positive,口味,味道还可以，但没有特别惊艳。
R0018,5,positive,口味,咖啡豆很香，门店环境不错。
R0019,5,positive,价格,早餐搭配咖啡很划算。
R0020,2,negative,价格,优惠券规则复杂，客服解释不清。
R0021,5,positive,口味,新品很好喝，出杯也快。
R0022,5,positive,价格,早餐搭配咖啡很划算。
R0023,4,positive,口味,味道还可以，但没有特别惊艳。
R0024,4,positive,配送,配送很快，包装完整，会回购。
R0025,5,positive,价格,早餐搭配咖啡很划算。
R0026,5,positive,价格,早餐搭配咖啡很划算。
R0027,4,positive,口味,咖啡豆很香，门店环境不错。
R0028,1,negative,价格,优惠券规则复杂，客服解释不清。
R0029,5,positive,口味,新品很好喝，出杯也快。
R0030,2,negative,服务,门店排队太久，服务一般。
R0031,5,positive,价格,早餐搭配咖啡很划算。
R0032,5,positive,配送,配送很快，包装完整，会回购。
R0033,5,positive,配送,配送很快，包装完整，会回购。
R0034,5,positive,价格,服务态度好，优惠券也能正常使用。
R0035,5,positive,口味,咖啡豆很香，门店环境不错。
R0036,5,positive,价格,早餐搭配咖啡很划算。
R0037,4,positive,口味,新品很好喝，出杯也快。
R0038,5,positive,口味,新品很好喝，出杯也快。
R0039,4,positive,价格,服务态度好，优惠券也能正常使用。
R0040,3,neutral,配送,包装一般，咖啡没洒。
R0041,5,positive,配送,配送很快，包装完整，会回购。
R0042,3,neutral,配送,杯子漏了，体验很差。
R0043,5,positive,配送,配送很快，包装完整，会回购。
R0044,4,positive,价格,早餐搭配咖啡很划算。
R0045,5,positive,价格,服务态度好，优惠券也能正常使用。
R0046,4,positive,配送,配送很快，包装完整，会回购。
R0047,5,positive,口味,新品很好喝，出杯也快。
R0048,5,positive,口味,咖啡豆很香，门店环境不错。
R0049,2,negative,口味,口味偏苦，不太适合我。
R0050,3,neutral,口味,味道还可以，但没有特别惊艳。
R0051,3,neutral,其他,等餐时间稍长，整体能接受。
R0052,5,positive,价格,服务态度好，优惠券也能正常使用。
R0053,4,positive,价格,服务态度好，优惠券也能正常使用。
R0054,2,negative,配送,配送太慢了，咖啡都凉了。
R0055,4,positive,其他,等餐时间稍长，整体能接受。
R0056,5,positive,口味,新品很好喝，出杯也快。
R0057,5,positive,口味,新品很好喝，出杯也快。
R0058,3,neutral,价格,价格小贵，偶尔喝一次。
R0059,5,positive,口味,咖啡豆很香，门店环境不错。
R0060,2,negative,价格,优惠券规则复杂，客服解释不清。
R0061,3,neutral,其他,等餐时间稍长，整体能接受。
R0062,5,positive,价格,早餐搭配咖啡很划算。
R0063,3,neutral,配送,杯子漏了，体验很差。
R0064,4,positive,价格,价格小贵，偶尔喝一次。
R0065,4,positive,价格,价格小贵，偶尔喝一次。
R0066,3,neutral,价格,优惠券规则复杂，客服解释不清。
R0067,1,negative,配送,杯子漏了，体验很差。
R0068,3,neutral,配送,包装一般，咖啡没洒。
R0069,4,positive,其他,等餐时间稍长，整体能接受。
R0070,4,positive,价格,早餐搭配咖啡很划算。
R0071,4,positive,口味,咖啡豆很香，门店环境不错。
R0072,1,negative,口味,口味偏苦，不太适合我。
R0073,3,neutral,配送,包装一般，咖啡没洒。
R0074,1,negative,配送,杯子漏了，体验很差。
R0075,5,positive,价格,服务态度好，优惠券也能正常使用。
R0076,2,negative,配送,配送太慢了，咖啡都凉了。
R0077,4,positive,口味,味道还可以，但没有特别惊艳。
R0078,5,positive,口味,咖啡豆很香，门店环境不错。
R0079,3,neutral,口味,味道还可以，但没有特别惊艳。
R0080,5,positive,配送,配送很快，包装完整，会回购。
R0081,4,positive,口味,新品很好喝，出杯也快。
R0082,4,positive,配送,配送很快，包装完整，会回购。
R0083,4,positive,口味,新品很好喝，出杯也快。
R0084,5,positive,口味,咖啡豆很香，门店环境不错。
R0085,3,neutral,其他,等餐时间稍长，整体能接受。
R0086,5,positive,价格,服务态度好，优惠券也能正常使用。
R0087,5,positive,配送,配送很快，包装完整，会回购。
R0088,4,positive,口味,咖啡豆很香，门店环境不错。
R0089,3,neutral,其他,等餐时间稍长，整体能接受。
R0090,2,negative,口味,口味偏苦，不太适合我。
R0091,3,neutral,配送,包装一般，咖啡没洒。
R0092,4,positive,价格,早餐搭配咖啡很划算。
R0093,4,positive,口味,新品很好喝，出杯也快。
R0094,2,negative,配送,配送太慢了，咖啡都凉了。
R0095,4,positive,价格,服务态度好，优惠券也能正常使用。
R0096,5,positive,配送,配送很快，包装完整，会回购。
R0097,4,positive,口味,咖啡豆很香，门店环境不错。
R0098,3,neutral,价格,优惠券规则复杂，客服解释不清。
R0099,5,positive,口味,咖啡豆很香，门店环境不错。
R0100,5,positive,口味,新品很好喝，出杯也快。
