review_id,user_id,order_id,rating,sentiment,review_text,review_date
R0001,U0147,O04025,4,positive,配送很快，包装完整，会回购。,2026-06-29
R0002,U0073,O01945,5,positive,咖啡豆很香，门店环境不错。,2026-03-27
R0003,U0148,O04069,4,positive,新品很好喝，出杯也快。,2026-05-02
R0004,U0045,O01167,3,neutral,等餐时间稍长，整体能接受。,2026-05-05
R0005,U0045,O01153,4,positive,服务态度好，优惠券也能正常使用。,2026-04-18
R0006,U0073,O01944,5,positive,早餐搭配咖啡很划算。,2025-11-27
R0007,U0081,O02137,4,positive,咖啡豆很香，门店环境不错。,2026-06-20
R0008,U0043,O01101,1,negative,配送太慢了，咖啡都凉了。,2026-05-30
R0009,U0127,O03440,2,negative,门店排队太久，服务一般。,2025-12-13
R0010,U0739,O07096,5,positive,服务态度好，优惠券也能正常使用。,2026-03-05
R0011,U0313,O05752,3,neutral,价格小贵，偶尔喝一次。,2026-03-15
R0012,U0145,O03989,3,negative,门店排队太久，服务一般。,2025-10-12
R0013,U0618,O06909,4,neutral,包装一般，咖啡没洒。,2026-03-19
R0014,U0149,O04116,5,positive,新品很好喝，出杯也快。,2026-01-12
R0015,U0445,O06446,2,negative,优惠券规则复杂，客服解释不清。,2026-04-30
R0016,U0503,O06635,4,neutral,价格小贵，偶尔喝一次。,2026-02-11
R0017,U0139,O03819,4,neutral,味道还可以，但没有特别惊艳。,2026-05-25
R0018,U0751,O07114,5,positive,咖啡豆很香，门店环境不错。,2026-05-25
R0019,U0014,O00324,5,positive,早餐搭配咖啡很划算。,2026-01-25
R0020,U0319,O05812,2,negative,优惠券规则复杂，客服解释不清。,2026-01-21
R0021,U0061,O01628,5,positive,新品很好喝，出杯也快。,2026-05-09
R0022,U0542,O06768,5,positive,早餐搭配咖啡很划算。,2025-12-31
R0023,U0293,O05558,4,neutral,味道还可以，但没有特别惊艳。,2026-06-25
R0024,U0054,O01414,4,positive,配送很快，包装完整，会回购。,2026-05-27
R0025,U0067,O01774,5,positive,早餐搭配咖啡很划算。,2025-08-09
R0026,U0254,O05189,5,positive,早餐搭配咖啡很划算。,2025-12-10
R0027,U0540,O06763,4,positive,咖啡豆很香，门店环境不错。,2026-03-31
R0028,U0182,O04465,1,negative,优惠券规则复杂，客服解释不清。,2026-03-06
R0029,U0036,O00918,5,positive,新品很好喝，出杯也快。,2026-03-08
R0030,U0044,O01147,2,negative,门店排队太久，服务一般。,2026-02-19
R0031,U0158,O04227,5,positive,早餐搭配咖啡很划算。,2026-06-30
R0032,U0026,O00657,5,positive,配送很快，包装完整，会回购。,2026-06-29
R0033,U0132,O03616,5,positive,配送很快，包装完整，会回购。,2026-06-21
R0034,U0021,O00518,5,positive,服务态度好，优惠券也能正常使用。,2026-06-30
R0035,U0460,O06492,5,positive,咖啡豆很香，门店环境不错。,2026-05-11
R0036,U0779,O07154,5,positive,早餐搭配咖啡很划算。,2026-05-07
R0037,U0167,O04312,4,positive,新品很好喝，出杯也快。,2026-06-14
R0038,U0518,O06685,5,positive,新品很好喝，出杯也快。,2025-12-06
R0039,U0245,O05097,4,positive,服务态度好，优惠券也能正常使用。,2026-06-27
R0040,U0272,O05357,3,neutral,包装一般，咖啡没洒。,2026-06-16
R0041,U0332,O05944,5,positive,配送很快，包装完整，会回购。,2026-04-20
R0042,U0203,O04672,3,negative,杯子漏了，体验很差。,2026-02-02
R0043,U0359,O06145,5,positive,配送很快，包装完整，会回购。,2026-06-20
R0044,U0071,O01885,4,positive,早餐搭配咖啡很划算。,2025-10-18
R0045,U0107,O02895,5,positive,服务态度好，优惠券也能正常使用。,2026-03-15
R0046,U0710,O07052,4,positive,配送很快，包装完整，会回购。,2026-06-06
R0047,U0093,O02517,5,positive,新品很好喝，出杯也快。,2026-06-25
R0048,U0290,O05528,5,positive,咖啡豆很香，门店环境不错。,2026-04-01
R0049,U0133,O03631,2,negative,口味偏苦，不太适合我。,2025-11-12
R0050,U0347,O06077,3,neutral,味道还可以，但没有特别惊艳。,2026-06-25
R0051,U0296,O05587,3,neutral,等餐时间稍长，整体能接受。,2026-05-15
R0052,U0662,O06977,5,positive,服务态度好，优惠券也能正常使用。,2026-05-25
R0053,U0357,O06137,4,positive,服务态度好，优惠券也能正常使用。,2026-06-29
R0054,U0097,O02623,2,negative,配送太慢了，咖啡都凉了。,2026-06-02
R0055,U0044,O01139,4,neutral,等餐时间稍长，整体能接受。,2026-01-23
R0056,U0530,O06727,5,positive,新品很好喝，出杯也快。,2026-06-21
R0057,U0039,O00984,5,positive,新品很好喝，出杯也快。,2026-02-04
R0058,U0023,O00579,3,neutral,价格小贵，偶尔喝一次。,2026-02-27
R0059,U0050,O01321,5,positive,咖啡豆很香，门店环境不错。,2026-05-11
R0060,U0132,O03615,2,negative,优惠券规则复杂，客服解释不清。,2026-06-25
R0061,U0357,O06138,3,neutral,等餐时间稍长，整体能接受。,2026-02-25
R0062,U0096,O02599,5,positive,早餐搭配咖啡很划算。,2026-06-05
R0063,U0212,O04763,3,negative,杯子漏了，体验很差。,2026-03-15
R0064,U0128,O03467,4,neutral,价格小贵，偶尔喝一次。,2026-04-10
R0065,U0076,O02001,4,neutral,价格小贵，偶尔喝一次。,2026-06-17
R0066,U0377,O06205,3,negative,优惠券规则复杂，客服解释不清。,2026-03-29
R0067,U0688,O07018,1,negative,杯子漏了，体验很差。,2026-03-21
R0068,U0148,O04080,3,neutral,包装一般，咖啡没洒。,2026-04-12
R0069,U0519,O06691,4,neutral,等餐时间稍长，整体能接受。,2025-08-15
R0070,U0067,O01782,4,positive,早餐搭配咖啡很划算。,2026-06-13
R0071,U0023,O00577,4,positive,咖啡豆很香，门店环境不错。,2026-04-13
R0072,U0029,O00719,1,negative,口味偏苦，不太适合我。,2026-03-31
R0073,U0093,O02506,3,neutral,包装一般，咖啡没洒。,2026-06-30
R0074,U0233,O04968,1,negative,杯子漏了，体验很差。,2026-06-23
R0075,U0606,O06892,5,positive,服务态度好，优惠券也能正常使用。,2026-06-19
R0076,U0063,O01687,2,negative,配送太慢了，咖啡都凉了。,2026-04-17
R0077,U0073,O01955,4,neutral,味道还可以，但没有特别惊艳。,2026-04-14
R0078,U0034,O00862,5,positive,咖啡豆很香，门店环境不错。,2026-05-30
R0079,U0006,O00133,3,neutral,味道还可以，但没有特别惊艳。,2026-02-14
R0080,U0173,O04384,5,positive,配送很快，包装完整，会回购。,2026-03-26
R0081,U0150,O04128,4,positive,新品很好喝，出杯也快。,2026-04-11
